student_id,course_id,date,grade,cfu,description,semester
A,B006807,2015-01-16,24,6,ALGEBRA LINEARE,2
A,B006800,2014-07-17,29,12,ALGORITMI E STRUTTURE DATI,1
A,B006801,2014-06-10,30,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
A,B006808,2017-01-23,18,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,6
A,B006802,2014-06-12,25,12,ARCHITETTURE DEGLI ELABORATORI,1
A,B006813,2017-01-27,20,9,BASI DI DATI E SISTEMI INFORMATIVI,6
A,B018760,2017-02-03,25,6,CALCOLO DELLE PROBABILITA' E STATISTICA,6
A,B018756,2015-01-20,29,9,METODOLOGIE DI PROGRAMMAZIONE,2
A,B006804,2014-09-02,30,12,PROGRAMMAZIONE,1
A,B018757,2015-03-04,29,6,PROGRAMMAZIONE CONCORRENTE,2
B,B006807,2016-01-11,22,6,ALGEBRA LINEARE,4
B,B006800,2014-06-12,26,12,ALGORITMI E STRUTTURE DATI,1
B,B006801,2014-09-09,20,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
B,B006808,2015-07-14,28,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
B,B006802,2016-01-28,21,12,ARCHITETTURE DEGLI ELABORATORI,4
B,B006813,2015-07-30,19,9,BASI DI DATI E SISTEMI INFORMATIVI,3
B,B006803,2016-08-02,18,9,MATEMATICA DISCRETA E LOGICA,5
B,B018756,2015-02-16,23,9,METODOLOGIE DI PROGRAMMAZIONE,2
B,B006804,2014-07-29,26,12,PROGRAMMAZIONE,1
B,B006818,2017-01-17,23,9,SISTEMI OPERATIVI,6
C,B006800,2014-09-12,28,12,ALGORITMI E STRUTTURE DATI,1
C,B006802,2016-09-19,22,12,ARCHITETTURE DEGLI ELABORATORI,5
C,B006813,2016-02-09,26,9,BASI DI DATI E SISTEMI INFORMATIVI,4
C,B018756,2016-02-18,26,9,METODOLOGIE DI PROGRAMMAZIONE,4
C,B006804,2014-07-28,26,12,PROGRAMMAZIONE,1
C,B018757,2017-02-02,23,6,PROGRAMMAZIONE CONCORRENTE,6
C,B006818,2017-02-09,22,9,SISTEMI OPERATIVI,6
D,B006807,2016-02-08,21,6,ALGEBRA LINEARE,2
D,B006800,2016-01-19,20,12,ALGORITMI E STRUTTURE DATI,2
D,B006801,2015-09-11,28,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
D,B006808,2016-06-21,31,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
D,B006802,2016-07-18,22,12,ARCHITETTURE DEGLI ELABORATORI,3
D,B018760,2016-06-10,18,6,CALCOLO DELLE PROBABILITA' E STATISTICA,3
D,B006804,2015-09-23,22,12,PROGRAMMAZIONE,1
E,B006800,2015-09-17,28,12,ALGORITMI E STRUTTURE DATI,1
E,B006801,2016-01-29,27,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,2
F,B006807,2016-02-08,29,6,ALGEBRA LINEARE,2
F,B006800,2015-06-11,24,12,ALGORITMI E STRUTTURE DATI,1
F,B006801,2015-06-25,28,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
F,B006802,2016-02-12,23,12,ARCHITETTURE DEGLI ELABORATORI,2
F,B006813,2016-06-13,22,9,BASI DI DATI E SISTEMI INFORMATIVI,3
F,B006803,2016-08-02,24,9,MATEMATICA DISCRETA E LOGICA,3
F,B006804,2015-09-01,24,12,PROGRAMMAZIONE,1
F,B018757,2016-09-22,19,6,PROGRAMMAZIONE CONCORRENTE,3
G,B006807,2016-01-11,28,6,ALGEBRA LINEARE,2
G,B006800,2015-06-12,26,12,ALGORITMI E STRUTTURE DATI,1
G,B006801,2015-07-24,30,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
G,B006808,2016-06-21,27,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
G,B006802,2016-02-12,27,12,ARCHITETTURE DEGLI ELABORATORI,2
G,B006813,2016-07-19,28,9,BASI DI DATI E SISTEMI INFORMATIVI,3
G,B018760,2016-01-08,27,6,CALCOLO DELLE PROBABILITA' E STATISTICA,2
G,B006803,2015-09-15,23,9,MATEMATICA DISCRETA E LOGICA,1
G,B018756,2016-02-25,30,9,METODOLOGIE DI PROGRAMMAZIONE,2
G,B006804,2015-06-30,31,12,PROGRAMMAZIONE,1
G,B018757,2016-07-25,24,6,PROGRAMMAZIONE CONCORRENTE,3
G,B006818,2017-01-17,25,9,SISTEMI OPERATIVI,4
H,B006807,2016-01-11,25,6,ALGEBRA LINEARE,2
H,B006800,2015-07-10,30,12,ALGORITMI E STRUTTURE DATI,1
H,B006801,2015-06-25,31,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
H,B006808,2016-06-21,25,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
H,B006802,2015-09-14,21,12,ARCHITETTURE DEGLI ELABORATORI,1
H,B006813,2016-07-19,24,9,BASI DI DATI E SISTEMI INFORMATIVI,3
H,B018760,2016-06-10,30,6,CALCOLO DELLE PROBABILITA' E STATISTICA,3
H,B006803,2015-06-15,23,9,MATEMATICA DISCRETA E LOGICA,1
H,B006804,2015-07-28,30,12,PROGRAMMAZIONE,1
H,B018757,2016-02-04,28,6,PROGRAMMAZIONE CONCORRENTE,2
H,B006818,2016-07-19,24,9,SISTEMI OPERATIVI,3
I,B006807,2016-01-11,24,6,ALGEBRA LINEARE,2
I,B006800,2015-09-17,23,12,ALGORITMI E STRUTTURE DATI,1
I,B006801,2015-07-27,23,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
I,B006808,2016-06-20,27,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
I,B018760,2016-02-10,20,6,CALCOLO DELLE PROBABILITA' E STATISTICA,2
I,B018757,2016-02-04,28,6,PROGRAMMAZIONE CONCORRENTE,2
J,B006807,2016-11-01,22,6,ALGEBRA LINEARE,3
J,B006800,2015-09-07,24,12,ALGORITMI E STRUTTURE DATI,1
J,B006801,2015-06-15,24,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
J,B006808,2016-06-21,24,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
J,B006813,2016-06-13,22,9,BASI DI DATI E SISTEMI INFORMATIVI,3
J,B018760,2016-10-02,25,6,CALCOLO DELLE PROBABILITA' E STATISTICA,3
J,B015325,2016-09-20,27,9,FISICA GENERALE,3
J,B006803,2015-09-15,20,9,MATEMATICA DISCRETA E LOGICA,1
J,B006804,2015-06-15,22,12,PROGRAMMAZIONE,1
J,B018757,2016-06-21,25,6,PROGRAMMAZIONE CONCORRENTE,3
K,B006807,2017-01-11,24,6,ALGEBRA LINEARE,2
K,B006800,2016-07-08,31,12,ALGORITMI E STRUTTURE DATI,1
K,B006801,2016-07-13,29,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
K,B006808,2017-06-28,18,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
K,B006802,2016-06-09,20,12,ARCHITETTURE DEGLI ELABORATORI,1
K,B006813,2017-06-19,28,9,BASI DI DATI E SISTEMI INFORMATIVI,3
K,B018760,2017-01-13,27,6,CALCOLO DELLE PROBABILITA' E STATISTICA,2
K,B015325,2017-09-13,24,9,FISICA GENERALE,3
K,B006803,2016-06-15,28,9,MATEMATICA DISCRETA E LOGICA,1
K,B018756,2017-01-20,25,9,METODOLOGIE DI PROGRAMMAZIONE,2
K,B006804,2016-09-15,26,12,PROGRAMMAZIONE,1
K,B018757,2017-02-20,30,6,PROGRAMMAZIONE CONCORRENTE,2
K,B006818,2017-07-28,28,9,SISTEMI OPERATIVI,3
L,B006807,2017-01-11,30,6,ALGEBRA LINEARE,2
L,B006800,2016-06-10,31,12,ALGORITMI E STRUTTURE DATI,1
L,B006801,2016-07-13,31,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
L,B006808,2017-07-03,26,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
L,B006802,2016-07-18,30,12,ARCHITETTURE DEGLI ELABORATORI,1
L,B006813,2017-09-15,31,9,BASI DI DATI E SISTEMI INFORMATIVI,3
L,B018760,2017-02-03,31,6,CALCOLO DELLE PROBABILITA' E STATISTICA,2
L,B015325,2017-07-21,25,9,FISICA GENERALE,3
L,B006803,2016-07-04,26,9,MATEMATICA DISCRETA E LOGICA,1
L,B018756,2017-01-20,28,9,METODOLOGIE DI PROGRAMMAZIONE,2
L,B006804,2016-09-15,30,12,PROGRAMMAZIONE,1
L,B018757,2017-02-20,31,6,PROGRAMMAZIONE CONCORRENTE,2
L,B006818,2017-07-28,28,9,SISTEMI OPERATIVI,3
M,B006800,2016-06-10,30,12,ALGORITMI E STRUTTURE DATI,1
M,B006801,2017-01-31,27,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,2
M,B006808,2017-06-28,18,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
M,B006813,2017-06-19,30,9,BASI DI DATI E SISTEMI INFORMATIVI,3
M,B018756,2017-02-09,28,9,METODOLOGIE DI PROGRAMMAZIONE,2
M,B006804,2016-09-20,27,12,PROGRAMMAZIONE,1
N,B006807,2017-01-11,19,6,ALGEBRA LINEARE,2
N,B006800,2016-06-10,28,12,ALGORITMI E STRUTTURE DATI,1
N,B006801,2016-06-23,19,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
N,B006808,2017-07-03,30,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
N,B006802,2017-02-24,18,12,ARCHITETTURE DEGLI ELABORATORI,2
N,B006813,2017-06-19,23,9,BASI DI DATI E SISTEMI INFORMATIVI,3
N,B018760,2017-01-13,23,6,CALCOLO DELLE PROBABILITA' E STATISTICA,2
N,B006803,2017-09-26,21,9,MATEMATICA DISCRETA E LOGICA,3
N,B018756,2017-01-20,28,9,METODOLOGIE DI PROGRAMMAZIONE,2
N,B006804,2016-07-26,28,12,PROGRAMMAZIONE,1
N,B018757,2017-02-20,21,6,PROGRAMMAZIONE CONCORRENTE,2
N,B006818,2017-07-11,23,9,SISTEMI OPERATIVI,3
O,B006807,2017-08-02,18,6,ALGEBRA LINEARE,3
O,B006800,2016-10-06,24,12,ALGORITMI E STRUTTURE DATI,1
O,B006801,2016-07-13,22,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
O,B006808,2017-03-07,18,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,2
O,B006802,2017-08-09,20,12,ARCHITETTURE DEGLI ELABORATORI,3
O,B018756,2017-12-07,23,9,METODOLOGIE DI PROGRAMMAZIONE,3
O,B006804,2016-09-20,27,12,PROGRAMMAZIONE,1
O,B018757,2017-11-07,30,6,PROGRAMMAZIONE CONCORRENTE,3
P,B006807,2017-11-01,31,6,ALGEBRA LINEARE,3
P,B006800,2016-10-06,27,12,ALGORITMI E STRUTTURE DATI,1
P,B006801,2016-07-13,25,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
P,B006808,2017-06-28,18,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
P,B006802,2016-09-06,27,12,ARCHITETTURE DEGLI ELABORATORI,1
P,B006813,2017-04-07,25,9,BASI DI DATI E SISTEMI INFORMATIVI,2
P,B018760,2017-01-13,24,6,CALCOLO DELLE PROBABILITA' E STATISTICA,2
P,B006803,2017-09-26,26,9,MATEMATICA DISCRETA E LOGICA,3
P,B018756,2017-07-06,24,9,METODOLOGIE DI PROGRAMMAZIONE,3
P,B006804,2017-01-13,21,12,PROGRAMMAZIONE,2
P,B018757,2017-06-15,25,6,PROGRAMMAZIONE CONCORRENTE,3
P,B006818,2017-07-28,26,9,SISTEMI OPERATIVI,3
Q,B006807,2017-01-11,22,6,ALGEBRA LINEARE,2
Q,B006800,2016-06-15,27,12,ALGORITMI E STRUTTURE DATI,1
Q,B006801,2016-07-13,27,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
Q,B006808,2017-06-28,18,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
Q,B006802,2017-06-15,20,12,ARCHITETTURE DEGLI ELABORATORI,3
Q,B006813,2017-07-04,23,9,BASI DI DATI E SISTEMI INFORMATIVI,3
Q,B018760,2017-01-13,20,6,CALCOLO DELLE PROBABILITA' E STATISTICA,2
Q,B018756,2017-06-07,25,9,METODOLOGIE DI PROGRAMMAZIONE,3
Q,B006804,2016-07-26,24,12,PROGRAMMAZIONE,1
Q,B018757,2017-06-15,26,6,PROGRAMMAZIONE CONCORRENTE,3
R,B006807,2017-01-11,31,6,ALGEBRA LINEARE,2
R,B006800,2016-06-10,31,12,ALGORITMI E STRUTTURE DATI,1
R,B006801,2016-07-13,31,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
R,B006808,2017-07-03,30,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
R,B006802,2016-06-09,30,12,ARCHITETTURE DEGLI ELABORATORI,1
R,B006813,2017-06-19,31,9,BASI DI DATI E SISTEMI INFORMATIVI,3
R,B018760,2017-02-03,31,6,CALCOLO DELLE PROBABILITA' E STATISTICA,2
R,B006803,2016-09-08,28,9,MATEMATICA DISCRETA E LOGICA,1
R,B018756,2017-01-20,31,9,METODOLOGIE DI PROGRAMMAZIONE,2
R,B006804,2016-06-28,31,12,PROGRAMMAZIONE,1
R,B018757,2017-01-30,31,6,PROGRAMMAZIONE CONCORRENTE,2
R,B006818,2017-07-11,28,9,SISTEMI OPERATIVI,3
S,B006807,2016-11-01,31,6,ALGEBRA LINEARE,1
S,B006800,2016-10-06,29,12,ALGORITMI E STRUTTURE DATI,1
S,B006801,2016-06-16,23,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
S,B006808,2016-09-23,18,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,1
S,B006802,2016-07-18,30,12,ARCHITETTURE DEGLI ELABORATORI,1
S,B006813,2017-06-19,31,9,BASI DI DATI E SISTEMI INFORMATIVI,3
S,B018760,2017-03-02,29,6,CALCOLO DELLE PROBABILITA' E STATISTICA,2
S,B015325,2017-09-14,23,9,FISICA GENERALE,3
S,B006803,2016-07-09,20,9,MATEMATICA DISCRETA E LOGICA,1
S,B018756,2017-01-20,29,9,METODOLOGIE DI PROGRAMMAZIONE,2
S,B006804,2016-07-26,24,12,PROGRAMMAZIONE,1
S,B018757,2017-01-30,30,6,PROGRAMMAZIONE CONCORRENTE,2
S,B006818,2017-07-28,22,9,SISTEMI OPERATIVI,3
T,B006807,2017-02-08,24,6,ALGEBRA LINEARE,2
T,B006800,2016-07-08,25,12,ALGORITMI E STRUTTURE DATI,1
T,B006801,2017-06-27,27,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,3
T,B006808,2017-07-03,25,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
T,B006802,2016-09-19,19,12,ARCHITETTURE DEGLI ELABORATORI,1
T,B006813,2017-06-19,24,9,BASI DI DATI E SISTEMI INFORMATIVI,3
T,B006804,2017-02-20,27,12,PROGRAMMAZIONE,2
T,B018757,2017-07-11,24,6,PROGRAMMAZIONE CONCORRENTE,3
U,B006807,2017-01-11,27,6,ALGEBRA LINEARE,2
U,B006800,2016-06-14,24,12,ALGORITMI E STRUTTURE DATI,1
U,B006808,2016-10-12,18,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,1
U,B006802,2016-09-19,21,12,ARCHITETTURE DEGLI ELABORATORI,1
U,B006813,2017-07-04,21,9,BASI DI DATI E SISTEMI INFORMATIVI,3
U,B018760,2017-02-03,20,6,CALCOLO DELLE PROBABILITA' E STATISTICA,2
U,B018756,2017-02-20,28,9,METODOLOGIE DI PROGRAMMAZIONE,2
U,B006804,2016-07-26,26,12,PROGRAMMAZIONE,1
U,B018757,2017-01-30,22,6,PROGRAMMAZIONE CONCORRENTE,2
U,B006818,2017-09-14,21,9,SISTEMI OPERATIVI,3
V,B006800,2016-09-16,22,12,ALGORITMI E STRUTTURE DATI,1
V,B006801,2016-06-23,25,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
V,B006802,2017-07-13,18,12,ARCHITETTURE DEGLI ELABORATORI,3
V,B018756,2017-07-12,22,9,METODOLOGIE DI PROGRAMMAZIONE,3
V,B006804,2017-06-29,27,12,PROGRAMMAZIONE,3
W,B006807,2017-11-01,30,6,ALGEBRA LINEARE,3
W,B006800,2016-10-06,30,12,ALGORITMI E STRUTTURE DATI,1
W,B006801,2016-06-23,31,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
W,B006808,2017-03-07,30,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,2
W,B006802,2016-07-18,28,12,ARCHITETTURE DEGLI ELABORATORI,1
W,B006813,2017-06-19,31,9,BASI DI DATI E SISTEMI INFORMATIVI,3
W,B018760,2017-01-13,31,6,CALCOLO DELLE PROBABILITA' E STATISTICA,2
W,B015325,2017-09-13,28,9,FISICA GENERALE,3
W,B006803,2016-06-15,30,9,MATEMATICA DISCRETA E LOGICA,1
W,B018756,2017-01-20,31,9,METODOLOGIE DI PROGRAMMAZIONE,2
W,B006804,2016-09-15,27,12,PROGRAMMAZIONE,1
W,B018757,2017-01-30,31,6,PROGRAMMAZIONE CONCORRENTE,2
W,B006818,2017-09-14,26,9,SISTEMI OPERATIVI,3
X,B006807,2017-11-01,18,6,ALGEBRA LINEARE,3
X,B006800,2016-10-06,24,12,ALGORITMI E STRUTTURE DATI,1
X,B006801,2016-07-15,23,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
X,B006808,2017-06-28,18,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
X,B006802,2017-08-09,23,12,ARCHITETTURE DEGLI ELABORATORI,3
X,B006813,2017-04-07,23,9,BASI DI DATI E SISTEMI INFORMATIVI,2
X,B018760,2017-09-06,19,6,CALCOLO DELLE PROBABILITA' E STATISTICA,3
X,B018756,2017-01-20,31,9,METODOLOGIE DI PROGRAMMAZIONE,2
X,B006804,2016-09-20,24,12,PROGRAMMAZIONE,1
X,B018757,2017-01-30,25,6,PROGRAMMAZIONE CONCORRENTE,2
Y,B006807,2017-01-15,25,6,ALGEBRA LINEARE,2
Y,B006800,2016-10-06,28,12,ALGORITMI E STRUTTURE DATI,1
Y,B006801,2016-06-29,23,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
Y,B006808,2017-06-15,23,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
Y,B006802,2016-09-06,30,12,ARCHITETTURE DEGLI ELABORATORI,1
Y,B006813,2016-06-09,24,9,BASI DI DATI E SISTEMI INFORMATIVI,1
Y,B015325,2017-09-13,22,9,FISICA GENERALE,3
Y,B018756,2017-08-02,28,9,METODOLOGIE DI PROGRAMMAZIONE,3
Y,B006804,2016-06-28,27,12,PROGRAMMAZIONE,1
Y,B018757,2016-08-02,23,6,PROGRAMMAZIONE CONCORRENTE,1
Y,B006818,2017-06-16,27,9,SISTEMI OPERATIVI,3
Z,B006807,2017-01-12,29,6,ALGEBRA LINEARE,2
Z,B006800,2016-07-08,30,12,ALGORITMI E STRUTTURE DATI,1
Z,B006801,2016-07-15,30,12,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,1
Z,B006808,2017-07-03,25,6,ANALISI II: FUNZIONI DI PIU' VARIABILI,3
Z,B006802,2016-06-09,19,12,ARCHITETTURE DEGLI ELABORATORI,1
Z,B006813,2017-06-19,31,9,BASI DI DATI E SISTEMI INFORMATIVI,3
Z,B018760,2017-01-13,31,6,CALCOLO DELLE PROBABILITA' E STATISTICA,2
Z,B015325,2017-07-20,23,9,FISICA GENERALE,3
Z,B006803,2016-08-01,25,9,MATEMATICA DISCRETA E LOGICA,1
Z,B018756,2017-01-20,28,9,METODOLOGIE DI PROGRAMMAZIONE,2
Z,B006804,2016-06-28,31,12,PROGRAMMAZIONE,1
Z,B018757,2017-02-20,30,6,PROGRAMMAZIONE CONCORRENTE,2
Z,B006818,2017-07-28,25,9,SISTEMI OPERATIVI,3
